id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1246190198804733952,1246190198804733952,1585949871000,2020-04-03,22:37:51,IST,20032773,okameister,Corey Okamoto,,3 charts show how coronavirus is affecting the travel industry  https://www.nationalgeographic.com/travel/2020/04/charts-show-coronavirus-impact-on-travel-industries/ … #SmartNews,[],['https://www.nationalgeographic.com/travel/2020/04/charts-show-coronavirus-impact-on-travel-industries/'],[],0,1,0,['#smartnews'],[],https://twitter.com/Okameister/status/1246190198804733952,False,,0,,,,,,,"[{'user_id': '20032773', 'username': 'Okameister'}]",,,,
1244011095519444992,1244011095519444992,1585430332000,2020-03-28,21:18:52,IST,20032773,okameister,Corey Okamoto,,“How to Clean Your Home During the Coronavirus Outbreak” by Ann Hinga Klein https://link.medium.com/DJSyMT8te5 ,[],['https://link.medium.com/DJSyMT8te5'],[],0,0,0,[],[],https://twitter.com/Okameister/status/1244011095519444992,False,,0,,,,,,,"[{'user_id': '20032773', 'username': 'Okameister'}]",,,,
1240750570031345664,1240750570031345664,1584652962000,2020-03-19,21:22:42,IST,20032773,okameister,Corey Okamoto,,“The World’s Most Powerful Supercomputer Has Entered the Fight Against Coronavirus” by Emily Mullin https://link.medium.com/OpBO9c3xZ4 ,[],['https://link.medium.com/OpBO9c3xZ4'],[],0,0,1,[],[],https://twitter.com/Okameister/status/1240750570031345664,False,,0,,,,,,,"[{'user_id': '20032773', 'username': 'Okameister'}]",,,,
1226327842583019520,1226327842583019520,1581214316000,2020-02-09,02:11:56,IST,20032773,okameister,Corey Okamoto,,".@postmates said that if I order this weekend, I could win free burgers for a whole year. As if I needed motivation to get delivery for the Oscars.",['postmates'],[],[],0,0,0,[],[],https://twitter.com/Okameister/status/1226327842583019520,False,,0,,,,,,,"[{'user_id': '20032773', 'username': 'Okameister'}, {'user_id': '276254736', 'username': 'Postmates'}]",,,,
1224145273418420224,1224145273418420224,1580693951000,2020-02-03,01:39:11,IST,20032773,okameister,Corey Okamoto,,@garyvee who just saw our #babyNut commercial ? if you did tweet me #babynut,['garyvee'],[],[],0,0,0,"['#babynut', '#babynut']",[],https://twitter.com/Okameister/status/1224145273418420224,False,,0,,,,,,,"[{'user_id': '20032773', 'username': 'Okameister'}, {'user_id': '5768872', 'username': 'garyvee'}]",,,,
1224118973362368513,1224118973362368513,1580687680000,2020-02-02,23:54:40,IST,20032773,okameister,Corey Okamoto,,It’s GAME TIME. #5GThatWorks  + #Contest,[],[],[],1,1,1,"['#5gthatworks', '#contest']",[],https://twitter.com/Okameister/status/1224118973362368513,False,,0,,,,,,,"[{'user_id': '20032773', 'username': 'Okameister'}]",,,,
1224100101498425344,1224100101498425344,1580683181000,2020-02-02,22:39:41,IST,20032773,okameister,Corey Okamoto,,Video: This Could Be The Best Super Bowl 54 Commercial  https://thespun.com/more/top-stories/super-bowl-54-commercial-hyundai … #SmartNews,[],['https://thespun.com/more/top-stories/super-bowl-54-commercial-hyundai'],[],0,0,0,['#smartnews'],[],https://twitter.com/Okameister/status/1224100101498425344,False,,0,,,,,,,"[{'user_id': '20032773', 'username': 'Okameister'}]",,,,
1223825542526332928,1223819673688559618,1580617721000,2020-02-02,04:28:41,IST,20032773,okameister,Corey Okamoto,,Thanks T-Mobile!,['tmobile'],[],[],0,0,0,[],[],https://twitter.com/Okameister/status/1223825542526332928,False,,0,,,,,,,"[{'user_id': '20032773', 'username': 'Okameister'}, {'user_id': '17338082', 'username': 'TMobile'}]",,,,
1223694646502518784,1223694646502518784,1580586513000,2020-02-01,19:48:33,IST,20032773,okameister,Corey Okamoto,,Everyone in the U.S. Gets Free Buffalo Wild Wings if the Super Bowl Goes Into Overtime  https://www.thrillist.com/news/nation/buffalo-wild-wings-free-wings-super-bowl-overtime-2020 … #SmartNews,[],['https://www.thrillist.com/news/nation/buffalo-wild-wings-free-wings-super-bowl-overtime-2020'],[],0,0,0,['#smartnews'],[],https://twitter.com/Okameister/status/1223694646502518784,False,,0,,,,,,,"[{'user_id': '20032773', 'username': 'Okameister'}]",,,,
1220871460132012034,1220871460132012034,1579913413000,2020-01-25,00:50:13,IST,20032773,okameister,Corey Okamoto,,"Enter the Rocket Mortgage® Super Bowl Squares Sweepstakes for free and get your chance to win $50,000 when the score changes, or one of two $500,000 grand prizes.  No Pur Nec. 50 US/DC, 18+ (19+ in AL&NE, 21+ in MS). Ends 11:59PM ET 1/30/20. Rules:  https://rocketmortgagesquares.com?ref=5e2b90ba9fced07d60102532rocketmortgagesquares.com/?ref=5e2b90ba9 …",[],['https://rocketmortgagesquares.com?ref=5e2b90ba9fced07d60102532'],[],0,0,0,[],[],https://twitter.com/Okameister/status/1220871460132012034,False,,0,,,,,,,"[{'user_id': '20032773', 'username': 'Okameister'}]",,,,
1212365612946640896,1212365612946640896,1577885461000,2020-01-01,13:31:01,IST,20032773,okameister,Corey Okamoto,,I'm in the running to win a Fitindex Vibrating Foam Roller thanks to @Ptfamous ! https://gleam.io/g8FRb/fitindex-electric-foam-roller-a-bob-brad-giveaway …,['ptfamous'],['https://gleam.io/g8FRb/fitindex-electric-foam-roller-a-bob-brad-giveaway'],[],0,0,0,[],[],https://twitter.com/Okameister/status/1212365612946640896,False,,0,,,,,,,"[{'user_id': '20032773', 'username': 'Okameister'}, {'user_id': '3418492274', 'username': 'PtFamous'}]",,,,
1198877239917432832,1198877239917432832,1574669582000,2019-11-25,08:13:02,IST,20032773,okameister,Corey Okamoto,,"Thanks for the birthday wishes, Bing  http://binged.it/1LR7wWl  #happybirthdaytome",[],['http://binged.it/1LR7wWl'],[],0,0,0,['#happybirthdaytome'],[],https://twitter.com/Okameister/status/1198877239917432832,False,,0,,,,,,,"[{'user_id': '20032773', 'username': 'Okameister'}]",,,,
1197796990727290880,1197796990727290880,1574412031000,2019-11-22,08:40:31,IST,20032773,okameister,Corey Okamoto,,There’s rewarding refreshment in every Coca-Cola beverage. Come see all the ways you can earn exciting perks today!   https://us.coca-cola.com/offers/ ,[],['https://us.coca-cola.com/offers/'],[],0,0,0,[],[],https://twitter.com/Okameister/status/1197796990727290880,False,,0,,,,,,,"[{'user_id': '20032773', 'username': 'Okameister'}]",,,,
1195180666062639104,1195135679849742339,1573788250000,2019-11-15,03:24:10,IST,20032773,okameister,Corey Okamoto,,Okameister - Level 6...,['hqtrivia'],[],[],0,0,0,[],[],https://twitter.com/Okameister/status/1195180666062639104,False,,0,,,,,,,"[{'user_id': '20032773', 'username': 'Okameister'}, {'user_id': '887010284166144001', 'username': 'hqtrivia'}]",,,,
1192692849491337216,1192692849491337216,1573195109000,2019-11-08,06:38:29,IST,20032773,okameister,Corey Okamoto,,I love getting Cash Back and think you will too! Join for free and get $10 when you spend $25. https://www.rakuten.com/r/COREYO13?eeid=26474 …,[],['https://www.rakuten.com/r/COREYO13?eeid=26474'],[],0,0,1,[],[],https://twitter.com/Okameister/status/1192692849491337216,False,,0,,,,,,,"[{'user_id': '20032773', 'username': 'Okameister'}]",,,,
