id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1246907904252403712,1246653910128848896,1586120985000,2020-04-05,22:09:45,IST,979570296,williamnickerso,Willy (Bill) Nickerson 🌈 ⛵️🎖🇨🇦✌️,,Especially Political Views- Ouch- given the current context.,"['tsiehta', 'poliadamyyc']",[],[],0,0,1,[],[],https://twitter.com/WilliamNickerso/status/1246907904252403712,False,,0,,,,,,,"[{'user_id': '979570296', 'username': 'WilliamNickerso'}, {'user_id': '184164307', 'username': 'Tsiehta'}, {'user_id': '879151674610155521', 'username': 'poliadamyyc'}]",,,,
1246486030410268672,1246484589603885064,1586020402000,2020-04-04,18:13:22,IST,979570296,williamnickerso,Willy (Bill) Nickerson 🌈 ⛵️🎖🇨🇦✌️,,"You as the Commander in Chief, are a Fucking Failure. You are the Joker that will be remembered as the standard for a Fucking Liar and a Traitor.","['realdonaldtrump', 'cnn']",[],[],0,0,1,[],[],https://twitter.com/WilliamNickerso/status/1246486030410268672,False,,0,,,,,,,"[{'user_id': '979570296', 'username': 'WilliamNickerso'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '759251', 'username': 'CNN'}]",,,,
1246460975617843210,1246459811325149184,1586014429000,2020-04-04,16:33:49,IST,979570296,williamnickerso,Willy (Bill) Nickerson 🌈 ⛵️🎖🇨🇦✌️,,- --RTFQ- ---As an Officer in the CAF- Use this Link- as it is NOT American. Your Trump side is showing. https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/when-and-how-to-use-masks …,['erinotoolemp'],['https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/when-and-how-to-use-masks'],[],1,3,6,[],[],https://twitter.com/WilliamNickerso/status/1246460975617843210,False,,0,,,,,,,"[{'user_id': '979570296', 'username': 'WilliamNickerso'}, {'user_id': '296553576', 'username': 'ErinOTooleMP'}]",,,,
1246449597939097600,1246448940674883588,1586011716000,2020-04-04,15:48:36,IST,979570296,williamnickerso,Willy (Bill) Nickerson 🌈 ⛵️🎖🇨🇦✌️,,And Lads. pic.twitter.com/dZU33hVmqr,['badjim007'],[],[],0,0,0,[],[],https://twitter.com/WilliamNickerso/status/1246449597939097600,False,,1,,,,,,,"[{'user_id': '979570296', 'username': 'WilliamNickerso'}, {'user_id': '373249823', 'username': 'BadJim007'}]",,,,
1246403207909322752,1246109407873818624,1586000656000,2020-04-04,12:44:16,IST,979570296,williamnickerso,Willy (Bill) Nickerson 🌈 ⛵️🎖🇨🇦✌️,, https://flex.amazon.ca/Our-Locations ,"['qualifyfor', 'yawhathesaid', 'kaythird', 'glen_mcgregor', 'canadianpoli']",['https://flex.amazon.ca/Our-Locations'],[],2,0,1,[],[],https://twitter.com/WilliamNickerso/status/1246403207909322752,False,,0,,,,,,,"[{'user_id': '979570296', 'username': 'WilliamNickerso'}, {'user_id': '849376476877266944', 'username': 'Qualifyfor'}, {'user_id': '1075087957', 'username': 'YaWhatHeSaid'}, {'user_id': '3127835814', 'username': 'kaythird'}, {'user_id': '14892665', 'username': 'glen_mcgregor'}, {'user_id': '120823405', 'username': 'canadianpoli'}]",,,,
1246400180930383872,1245694893500088320,1585999934000,2020-04-04,12:32:14,IST,979570296,williamnickerso,Willy (Bill) Nickerson 🌈 ⛵️🎖🇨🇦✌️,, https://poorhousesofnovascotia.com/2018/11/17/dayspring-lunenburg-poor-house/ …,['nsvalley'],['https://poorhousesofnovascotia.com/2018/11/17/dayspring-lunenburg-poor-house/'],[],0,0,1,[],[],https://twitter.com/WilliamNickerso/status/1246400180930383872,False,,0,,,,,,,"[{'user_id': '979570296', 'username': 'WilliamNickerso'}, {'user_id': '221579366', 'username': 'NSValley'}]",,,,
1246399619082465281,1245694893500088320,1585999800000,2020-04-04,12:30:00,IST,979570296,williamnickerso,Willy (Bill) Nickerson 🌈 ⛵️🎖🇨🇦✌️,,Dayspring-Just down the way.LOL- Next time you get up this way- PM -me drop in- Cheers.,['nsvalley'],[],[],1,0,1,[],[],https://twitter.com/WilliamNickerso/status/1246399619082465281,False,,0,,,,,,,"[{'user_id': '979570296', 'username': 'WilliamNickerso'}, {'user_id': '221579366', 'username': 'NSValley'}]",,,,
1245803905969205251,1245795449199616007,1585857771000,2020-04-02,21:02:51,IST,979570296,williamnickerso,Willy (Bill) Nickerson 🌈 ⛵️🎖🇨🇦✌️,,"Excellent Humour- Hello, Donald? I would like to discuss Ukraine with you.”

Trump: “What’s Ukraine?”

Putin: “Thanks, Donald!”",['bagdmilksowhat'],[],[],0,0,1,[],[],https://twitter.com/WilliamNickerso/status/1245803905969205251,False,,0,,,,,,,"[{'user_id': '979570296', 'username': 'WilliamNickerso'}, {'user_id': '2906390281', 'username': 'BagdMilkSoWhat'}]",,,,
1245795151995383809,1245777137338060807,1585855684000,2020-04-02,20:28:04,IST,979570296,williamnickerso,Willy (Bill) Nickerson 🌈 ⛵️🎖🇨🇦✌️,,Name that guy- whom sent his family to Mexico during a Pandemic. HMMM- Starts with P- Nope -not Pierre.,"['bobsmithers16', 'ctvnews']",[],[],0,0,1,[],[],https://twitter.com/WilliamNickerso/status/1245795151995383809,False,,0,,,,,,,"[{'user_id': '979570296', 'username': 'WilliamNickerso'}, {'user_id': '1036750198574182401', 'username': 'BobSmithers16'}, {'user_id': '203123011', 'username': 'CTVNews'}]",,,,
1245794843479212033,1245777137338060807,1585855611000,2020-04-02,20:26:51,IST,979570296,williamnickerso,Willy (Bill) Nickerson 🌈 ⛵️🎖🇨🇦✌️,,How Now Brown Cow ?-🐮 - Whom Drank the white Milk.,['ctvnews'],[],[],0,0,1,[],[],https://twitter.com/WilliamNickerso/status/1245794843479212033,False,,0,,,,,,,"[{'user_id': '979570296', 'username': 'WilliamNickerso'}, {'user_id': '203123011', 'username': 'CTVNews'}]",,,,
