id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1249017457899167744,1248996150197260288,1586623942000,2020-04-11,17:52:22,IST,742502853688864768,vivianalongo,Viviana Longo,,"Por qué no le preguntas a alguien que sepa del tema? Un epidemiologo, ponele. Que puede saber una periodista al respecto??","['argentino_en_ny', 'odonnellmaria']",[],[],0,0,0,[],[],https://twitter.com/VivianaLongo/status/1249017457899167744,False,,0,,,,,,,"[{'user_id': '742502853688864768', 'username': 'VivianaLongo'}, {'user_id': '709898480', 'username': 'argentino_en_NY'}, {'user_id': '17337093', 'username': 'odonnellmaria'}]",,,,
1248286627530788870,1248074128143204353,1586449698000,2020-04-09,17:28:18,IST,742502853688864768,vivianalongo,Viviana Longo,,Olvidate!! No se ve ningún culo! Que le va a interesar a Tinelli!!,"['capitanintriga', 'cuervotinelli']",[],[],0,0,0,[],[],https://twitter.com/VivianaLongo/status/1248286627530788870,False,,0,,,,,,,"[{'user_id': '742502853688864768', 'username': 'VivianaLongo'}, {'user_id': '2340581', 'username': 'capitanintriga'}, {'user_id': '789856765', 'username': 'cuervotinelli'}]",,,,
1243280290019184648,1243237306250772480,1585256094000,2020-03-26,20:54:54,IST,742502853688864768,vivianalongo,Viviana Longo,,Humo,['ayelenoliva'],[],[],0,0,0,[],[],https://twitter.com/VivianaLongo/status/1243280290019184648,False,,0,,,,,,,"[{'user_id': '742502853688864768', 'username': 'VivianaLongo'}, {'user_id': '157801847', 'username': 'ayelenoliva'}]",,,,
1238169980639817729,1238132737581645825,1584037702000,2020-03-12,18:28:22,IST,742502853688864768,vivianalongo,Viviana Longo,,Te cuento que en la escuela donde va mi hija nunca hubo ni jabón ni ningún medio para secarse las manos. Y hasta hace muy poquito tampoco tenían agua caliente. La cooperadora se encargó de poner un termotanque para que tuvieran agua caliente en el baño,"['zelemrt', 'crisstorioni']",[],[],1,0,3,[],[],https://twitter.com/VivianaLongo/status/1238169980639817729,False,,0,,,,,,,"[{'user_id': '742502853688864768', 'username': 'VivianaLongo'}, {'user_id': '743522318', 'username': 'zelemrt'}, {'user_id': '1624619480', 'username': 'CrisStorioni'}]",,,,
1235581186837229570,1235535244511584262,1583420485000,2020-03-05,15:01:25,IST,742502853688864768,vivianalongo,Viviana Longo,,Libertad de expresión sin agresion.,['giselamariel103'],[],[],0,0,1,[],[],https://twitter.com/VivianaLongo/status/1235581186837229570,False,,0,,,,,,,"[{'user_id': '742502853688864768', 'username': 'VivianaLongo'}, {'user_id': '3363073401', 'username': 'giselamariel103'}]",,,,
1227408139110289408,1227276111878320128,1581471879000,2020-02-12,01:44:39,IST,742502853688864768,vivianalongo,Viviana Longo,,C3D,['tennis'],[],[],0,0,0,[],[],https://twitter.com/VivianaLongo/status/1227408139110289408,False,,0,,,,,,,"[{'user_id': '742502853688864768', 'username': 'VivianaLongo'}, {'user_id': '18847469', 'username': 'Tennis'}]",,,,
1227003045961224194,1226887443003191302,1581375297000,2020-02-10,22:54:57,IST,742502853688864768,vivianalongo,Viviana Longo,,@TheHuOfficial should thank @periodistan_  !!! 👊,"['lollapaloozaar', 'thehuofficial', 'yungblud', 'teatrovorterix', 'nicetoclub', 'mikainstagram', 'rexorangecounty', 'periodistan_']",[],[],0,0,1,[],[],https://twitter.com/VivianaLongo/status/1227003045961224194,False,,0,,,,,,,"[{'user_id': '742502853688864768', 'username': 'VivianaLongo'}, {'user_id': '1710342392', 'username': 'lollapaloozaar'}, {'user_id': '1078403904684068870', 'username': 'TheHuOfficial'}, {'user_id': '1693633363', 'username': 'yungblud'}, {'user_id': '1095916676', 'username': 'TeatroVorterix'}, {'user_id': '57117780', 'username': 'NicetoClub'}, {'user_id': '2172067053', 'username': 'MikaInstagram'}, {'user_id': '3402916535', 'username': 'rexorangecounty'}, {'user_id': '1085271803981938688', 'username': 'periodistan_'}]",,,,
1225088100138934272,1225032445441052676,1580918738000,2020-02-05,16:05:38,IST,742502853688864768,vivianalongo,Viviana Longo,,"Una pavada. También podes intoxicarte en tu propia casa, incluso con comida preparada por vos mismo. Hay mucho desconocimiento y demonizar todo lo que se consume afuera me parece un error",['bromencasa'],[],[],0,0,1,[],[],https://twitter.com/VivianaLongo/status/1225088100138934272,False,,0,,,,,,,"[{'user_id': '742502853688864768', 'username': 'VivianaLongo'}, {'user_id': '1046573434120155136', 'username': 'bromencasa'}]",,,,
1218953941926531073,1218661585218146304,1579456241000,2020-01-19,17:50:41,IST,742502853688864768,vivianalongo,Viviana Longo,,Estaría buenísimo llevar el rugby a los barrios y hacer una suerte de observación antropológica de los resultados...,['diegowainstein'],[],[],0,0,0,[],[],https://twitter.com/VivianaLongo/status/1218953941926531073,False,,0,,,,,,,"[{'user_id': '742502853688864768', 'username': 'VivianaLongo'}, {'user_id': '135629267', 'username': 'diegowainstein'}]",,,,
1207316896774807552,1207170388465074178,1576681753000,2019-12-18,15:09:13,IST,742502853688864768,vivianalongo,Viviana Longo,,"Thiem, i hope 🤞",['atptour'],[],[],0,0,0,[],[],https://twitter.com/VivianaLongo/status/1207316896774807552,False,,0,,,,,,,"[{'user_id': '742502853688864768', 'username': 'VivianaLongo'}, {'user_id': '19980499', 'username': 'atptour'}]",,,,
1207316215787671553,1207316215787671553,1576681591000,2019-12-18,15:06:31,IST,742502853688864768,vivianalongo,Viviana Longo,,😳 https://twitter.com/Herezeq/status/1207278180698087424 …,[],['https://twitter.com/Herezeq/status/1207278180698087424'],[],0,0,0,[],[],https://twitter.com/VivianaLongo/status/1207316215787671553,False,https://twitter.com/Herezeq/status/1207278180698087424,0,,,,,,,"[{'user_id': '742502853688864768', 'username': 'VivianaLongo'}]",,,,
1206647703503028225,1206647703503028225,1576522205000,2019-12-16,18:50:05,IST,742502853688864768,vivianalongo,Viviana Longo,,Brilliant... https://twitter.com/leresatee/status/1206343468030689281 …,[],['https://twitter.com/leresatee/status/1206343468030689281'],[],0,0,0,[],[],https://twitter.com/VivianaLongo/status/1206647703503028225,False,https://twitter.com/leresatee/status/1206343468030689281,0,,,,,,,"[{'user_id': '742502853688864768', 'username': 'VivianaLongo'}]",,,,
1203485364779917312,1203338747426852864,1575768245000,2019-12-08,01:24:05,IST,742502853688864768,vivianalongo,Viviana Longo,,Efectos trentuno...😂,['sol__despeinada'],[],[],0,0,0,[],[],https://twitter.com/VivianaLongo/status/1203485364779917312,False,,0,,,,,,,"[{'user_id': '742502853688864768', 'username': 'VivianaLongo'}, {'user_id': '347665998', 'username': 'sol__despeinada'}]",,,,
1202695903867494400,1202317441910620165,1575580023000,2019-12-05,21:07:03,IST,742502853688864768,vivianalongo,Viviana Longo,,"Se nota que tiene como mil años, señor Cachanosky",['rcachanosky'],[],[],0,0,0,[],[],https://twitter.com/VivianaLongo/status/1202695903867494400,False,,0,,,,,,,"[{'user_id': '742502853688864768', 'username': 'VivianaLongo'}, {'user_id': '577576491', 'username': 'RCachanosky'}]",,,,
1199788786206609408,1199688513480003585,1574886912000,2019-11-27,20:35:12,IST,742502853688864768,vivianalongo,Viviana Longo,,Es que la grieta en definitiva te interpela acerca de quienes son las personas que creías conocer y con quienes supuestamente tenías algo en común,['brotesverdes33'],[],[],0,0,0,[],[],https://twitter.com/VivianaLongo/status/1199788786206609408,False,,0,,,,,,,"[{'user_id': '742502853688864768', 'username': 'VivianaLongo'}, {'user_id': '1004378057648627712', 'username': 'brotesverdes33'}]",,,,
1198988432854409216,1198988432854409216,1574696093000,2019-11-25,15:34:53,IST,742502853688864768,vivianalongo,Viviana Longo,,Gol https://twitter.com/Gregoriodalbon/status/1198764040048304128 …,[],['https://twitter.com/Gregoriodalbon/status/1198764040048304128'],[],0,0,0,[],[],https://twitter.com/VivianaLongo/status/1198988432854409216,False,https://twitter.com/Gregoriodalbon/status/1198764040048304128,0,,,,,,,"[{'user_id': '742502853688864768', 'username': 'VivianaLongo'}]",,,,
1197177955031670786,1197177955031670786,1574264441000,2019-11-20,15:40:41,IST,742502853688864768,vivianalongo,Viviana Longo,,Cuánto daño le hace el periodismo al mundo!! https://twitter.com/CarlosEguiaUno/status/1196925991924441089 …,[],['https://twitter.com/CarlosEguiaUno/status/1196925991924441089'],[],0,0,0,[],[],https://twitter.com/VivianaLongo/status/1197177955031670786,False,https://twitter.com/CarlosEguiaUno/status/1196925991924441089,0,,,,,,,"[{'user_id': '742502853688864768', 'username': 'VivianaLongo'}]",,,,
1196085958707429376,1196030723125366784,1574004089000,2019-11-17,15:21:29,IST,742502853688864768,vivianalongo,Viviana Longo,,Al menos no en la misma oración...☹️,"['s_alita', 'infobae']",[],[],0,0,1,[],[],https://twitter.com/VivianaLongo/status/1196085958707429376,False,,0,,,,,,,"[{'user_id': '742502853688864768', 'username': 'VivianaLongo'}, {'user_id': '749811589', 'username': 's_alita'}, {'user_id': '69416519', 'username': 'infobae'}]",,,,
1196085392895856640,1195901260261679105,1574003954000,2019-11-17,15:19:14,IST,742502853688864768,vivianalongo,Viviana Longo,,Se llevan la alegria...😢,['maticolombatti'],[],[],0,0,1,[],[],https://twitter.com/VivianaLongo/status/1196085392895856640,False,,0,,,,,,,"[{'user_id': '742502853688864768', 'username': 'VivianaLongo'}, {'user_id': '184892265', 'username': 'maticolombatti'}]",,,,
1195757839744196613,1195726874854461442,1573925859000,2019-11-16,17:37:39,IST,742502853688864768,vivianalongo,Viviana Longo,,Y representa al dedillo al ideal de muchos de quienes lo premiaron con su voto... las vacaciones no se negocian...,"['maticolombatti', 'grupocurasopp']",[],[],0,0,0,[],[],https://twitter.com/VivianaLongo/status/1195757839744196613,False,,0,,,,,,,"[{'user_id': '742502853688864768', 'username': 'VivianaLongo'}, {'user_id': '184892265', 'username': 'maticolombatti'}, {'user_id': '723700260451823617', 'username': 'GrupoCurasOPP'}]",,,,
