id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1246954584960049157,1246942341891579904,1586132115000,2020-04-06,01:15:15,IST,3015644374,thejoecardamone,Joe Cardamone,,Wild nature,['jonfilitti'],[],[],0,0,0,[],[],https://twitter.com/thejoecardamone/status/1246954584960049157,False,,0,,,,,,,"[{'user_id': '3015644374', 'username': 'thejoecardamone'}, {'user_id': '246365121', 'username': 'JonFilitti'}]",,,,
1246943982338392066,1246942341891579904,1586129587000,2020-04-06,00:33:07,IST,3015644374,thejoecardamone,Joe Cardamone,,"Nice! And woah, that last tree pic is crazy. It’s bent, not cracked but warped.",['jonfilitti'],[],[],1,0,0,[],[],https://twitter.com/thejoecardamone/status/1246943982338392066,False,,0,,,,,,,"[{'user_id': '3015644374', 'username': 'thejoecardamone'}, {'user_id': '246365121', 'username': 'JonFilitti'}]",,,,
1246870051409592320,1246615713462259713,1586111960000,2020-04-05,19:39:20,IST,3015644374,thejoecardamone,Joe Cardamone,,Thanks for the appreciation and support. Also huge shout out to @hollyheartsun for pushing me to go do this and @benjancewicz for how to properly do a thread and story on Twitter 🙏,"['hollyheartsun', 'benjancewicz']",[],[],0,0,2,[],[],https://twitter.com/thejoecardamone/status/1246870051409592320,False,,0,,,,,,,"[{'user_id': '3015644374', 'username': 'thejoecardamone'}, {'user_id': '941349929854885890', 'username': 'hollyheartsun'}, {'user_id': '14216617', 'username': 'benjancewicz'}]",,,,
1246846461377216514,1246615713462259713,1586106336000,2020-04-05,18:05:36,IST,3015644374,thejoecardamone,Joe Cardamone,,"I asked him. The first time he kinda brushed me off, then when I asked again if he had a card or site or anything he said he didn’t. He does this for fun and rent but he only does it relying on people being present and able to give cash.",['bethanydietz'],[],[],1,0,0,[],[],https://twitter.com/thejoecardamone/status/1246846461377216514,False,,0,,,,,,,"[{'user_id': '3015644374', 'username': 'thejoecardamone'}, {'user_id': '377388558', 'username': 'BethanyDietz'}]",,,,
1246845569982705666,1246837592915656704,1586106123000,2020-04-05,18:02:03,IST,3015644374,thejoecardamone,Joe Cardamone,,Thank you sweetheart. All from your support and spurring on :),['hollyheartsun'],[],[],0,0,1,[],[],https://twitter.com/thejoecardamone/status/1246845569982705666,False,,0,,,,,,,"[{'user_id': '3015644374', 'username': 'thejoecardamone'}, {'user_id': '941349929854885890', 'username': 'hollyheartsun'}]",,,,
1246845423635116033,1246615713462259713,1586106088000,2020-04-05,18:01:28,IST,3015644374,thejoecardamone,Joe Cardamone,,"Much appreciated, thank you 🙏 I’m going back out today, so we’ll see",['procoyote'],[],[],0,0,1,[],[],https://twitter.com/thejoecardamone/status/1246845423635116033,False,,0,,,,,,,"[{'user_id': '3015644374', 'username': 'thejoecardamone'}, {'user_id': '1053017782793715712', 'username': 'ProCoyote'}]",,,,
1246823381359624193,1246615713462259713,1586100833000,2020-04-05,16:33:53,IST,3015644374,thejoecardamone,Joe Cardamone,,Glad to hear everyone is well! You should totally go get some pics today!!,['jonfilitti'],[],[],0,0,1,[],[],https://twitter.com/thejoecardamone/status/1246823381359624193,False,,0,,,,,,,"[{'user_id': '3015644374', 'username': 'thejoecardamone'}, {'user_id': '246365121', 'username': 'JonFilitti'}]",,,,
1246816967136350208,1246786573842157572,1586099304000,2020-04-05,16:08:24,IST,3015644374,thejoecardamone,Joe Cardamone,,It really is quite odd,['bazthefitz'],[],[],0,0,2,[],[],https://twitter.com/thejoecardamone/status/1246816967136350208,False,,0,,,,,,,"[{'user_id': '3015644374', 'username': 'thejoecardamone'}, {'user_id': '1480651982', 'username': 'BaztheFitz'}]",,,,
1246816882163945473,1246615713462259713,1586099284000,2020-04-05,16:08:04,IST,3015644374,thejoecardamone,Joe Cardamone,,"Thanks, Jon. We are doing well all things considered. You?",['jonfilitti'],[],[],1,0,0,[],[],https://twitter.com/thejoecardamone/status/1246816882163945473,False,,0,,,,,,,"[{'user_id': '3015644374', 'username': 'thejoecardamone'}, {'user_id': '246365121', 'username': 'JonFilitti'}]",,,,
1246631879194939394,1246086776063758336,1586055175000,2020-04-05,03:52:55,IST,3015644374,thejoecardamone,Joe Cardamone,,The inner harbor at Baltimore. Today. Usually not enough room to walk. pic.twitter.com/5bQORHRs5m,"['officialmcafee', 'theemrsmcafee']",[],['https://pbs.twimg.com/media/EUztFTRXQAMTNfy.jpg'],0,0,1,[],[],https://twitter.com/thejoecardamone/status/1246631879194939394,False,,0,,,,,,,"[{'user_id': '3015644374', 'username': 'thejoecardamone'}, {'user_id': '961445378', 'username': 'officialmcafee'}, {'user_id': '3222909799', 'username': 'theemrsmcafee'}]",,,,
1246630254757777409,1246615713462259713,1586054788000,2020-04-05,03:46:28,IST,3015644374,thejoecardamone,Joe Cardamone,,"I miss the sound of people enjoying the day. I miss taking the family to the Aquarium and getting a bite to eat as we stroll the harbor. Be strong Baltimore, we will all see each other soon. 13/13 pic.twitter.com/VT4PNKXrHq",[],[],['https://pbs.twimg.com/media/EUzrm2dXgAEezL7.jpg'],2,2,11,[],[],https://twitter.com/thejoecardamone/status/1246630254757777409,False,,0,,,,,,,"[{'user_id': '3015644374', 'username': 'thejoecardamone'}]",,,,
1246629772916076547,1246615713462259713,1586054673000,2020-04-05,03:44:33,IST,3015644374,thejoecardamone,Joe Cardamone,,"Here's hoping I see Greg with a crowd of people around him and full tip jar next time. I decided to pack up and leave, though it didn't feel like I was actually ”leaving” because nothing was happening. 12/x",[],[],[],1,1,4,[],[],https://twitter.com/thejoecardamone/status/1246629772916076547,False,,0,,,,,,,"[{'user_id': '3015644374', 'username': 'thejoecardamone'}]",,,,
1246628606681452544,1246615713462259713,1586054395000,2020-04-05,03:39:55,IST,3015644374,thejoecardamone,Joe Cardamone,,"I was happy to stay and talk. Come to find out, Greg is also an Army vet. We traded some stories and laughed. I thanked him for letting me take his picture and wished him well. 11/x pic.twitter.com/O75ZBA1lUn",[],[],['https://pbs.twimg.com/media/EUzqG5LXkAAtZ1l.jpg'],1,1,5,[],[],https://twitter.com/thejoecardamone/status/1246628606681452544,False,,0,,,,,,,"[{'user_id': '3015644374', 'username': 'thejoecardamone'}]",,,,
1246626875121848321,1246615713462259713,1586053982000,2020-04-05,03:33:02,IST,3015644374,thejoecardamone,Joe Cardamone,,"Greg is also being hit hard by the lack of people about. He uses the money he makes to help pay his rent. Today, he said, he's only made enough to take the train back. 10/x pic.twitter.com/ljbGBOd9z1",[],[],['https://pbs.twimg.com/media/EUzoiEOXQAYSlFz.jpg'],2,1,4,[],[],https://twitter.com/thejoecardamone/status/1246626875121848321,False,,0,,,,,,,"[{'user_id': '3015644374', 'username': 'thejoecardamone'}]",,,,
