id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1247698860090277888,1242598363670994951,1586309564000,2020-04-08,07:02:44,IST,941754604118831105,huffmanfornc,Scott Huffman For Congress,,Fantastic news.,['hergus'],[],[],0,0,1,[],[],https://twitter.com/HuffmanForNC/status/1247698860090277888,False,,0,,,,,,,"[{'user_id': '941754604118831105', 'username': 'HuffmanForNC'}, {'user_id': '16163098', 'username': 'hergus'}]",,,,
1247680859706138626,1247680849656647686,1586305272000,2020-04-08,05:51:12,IST,941754604118831105,huffmanfornc,Scott Huffman For Congress,,"Thanks again to everyone who signed the petition.

#GoNavy",[],[],[],1,5,15,['#gonavy'],[],https://twitter.com/HuffmanForNC/status/1247680859706138626,False,,0,,,,,,,"[{'user_id': '941754604118831105', 'username': 'HuffmanForNC'}]",,,,
1247680858636591105,1247680849656647686,1586305272000,2020-04-08,05:51:12,IST,941754604118831105,huffmanfornc,Scott Huffman For Congress,,"Quentin - A true SECNAV (not acting) would have invoked the total person concept in this matter. A good leader will lay down their life for their troops, true leaders know this, you sir do not. Shame on you.",[],[],[],1,6,21,[],[],https://twitter.com/HuffmanForNC/status/1247680858636591105,False,,0,,,,,,,"[{'user_id': '941754604118831105', 'username': 'HuffmanForNC'}]",,,,
1247680857269248001,1247680849656647686,1586305271000,2020-04-08,05:51:11,IST,941754604118831105,huffmanfornc,Scott Huffman For Congress,,Kelvin - The Navy Secretary is Acting just as immature as Trump. Not like a Senior Executive in the administration.,[],[],[],1,1,5,[],[],https://twitter.com/HuffmanForNC/status/1247680857269248001,False,,0,,,,,,,"[{'user_id': '941754604118831105', 'username': 'HuffmanForNC'}]",,,,
1247680856254275586,1247680849656647686,1586305271000,2020-04-08,05:51:11,IST,941754604118831105,huffmanfornc,Scott Huffman For Congress,,Brett - The Captain was trying to protect his sailors.,[],[],[],1,1,6,[],[],https://twitter.com/HuffmanForNC/status/1247680856254275586,False,,0,,,,,,,"[{'user_id': '941754604118831105', 'username': 'HuffmanForNC'}]",,,,
1247680855188873228,1247680849656647686,1586305271000,2020-04-08,05:51:11,IST,941754604118831105,huffmanfornc,Scott Huffman For Congress,,Jim - Captain Crozier should be given a new Command!,[],[],[],1,0,4,[],[],https://twitter.com/HuffmanForNC/status/1247680855188873228,False,,0,,,,,,,"[{'user_id': '941754604118831105', 'username': 'HuffmanForNC'}]",,,,
1247680853913866257,1247680849656647686,1586305271000,2020-04-08,05:51:11,IST,941754604118831105,huffmanfornc,Scott Huffman For Congress,,"Susan - The firing of an officer who put his crew first is disturbing. Sending a letter to the ship's crew that berates that officer is unprofessional and beneath the dignity of an leader, active duty or civilian.",[],[],[],1,1,9,[],[],https://twitter.com/HuffmanForNC/status/1247680853913866257,False,,0,,,,,,,"[{'user_id': '941754604118831105', 'username': 'HuffmanForNC'}]",,,,
1247680852441600001,1247680849656647686,1586305270000,2020-04-08,05:51:10,IST,941754604118831105,huffmanfornc,Scott Huffman For Congress,,"Evelyn - As the daughter & sister-in-law & cousin of proud Navy veterans, I am appalled at the treatment of Captain Crozier and the behavior of ACTING Sec of Navy.",[],[],[],1,1,9,[],[],https://twitter.com/HuffmanForNC/status/1247680852441600001,False,,0,,,,,,,"[{'user_id': '941754604118831105', 'username': 'HuffmanForNC'}]",,,,
1247680851049054209,1247680849656647686,1586305270000,2020-04-08,05:51:10,IST,941754604118831105,huffmanfornc,Scott Huffman For Congress,,"Out of 360 signers
Resign as SecNav - 360 yes - 100%
Reinstate Capt Crozier as CO
359 yes - 1 no 99.9%
The 1 no was the Capt be given a new command asap.",[],[],[],2,3,9,[],[],https://twitter.com/HuffmanForNC/status/1247680851049054209,False,,0,,,,,,,"[{'user_id': '941754604118831105', 'username': 'HuffmanForNC'}]",,,,
1247680849656647686,1247680849656647686,1586305270000,2020-04-08,05:51:10,IST,941754604118831105,huffmanfornc,Scott Huffman For Congress,,Yesterday - I posted an online petition for signatures demanding the resignation of Acting Navy Secretary Thomas Modly.  Here are the results and a few of the comments from the 100's of former #Navy #Veterans and their family members had to say.,[],[],[],2,17,63,"['#navy', '#veterans']",[],https://twitter.com/HuffmanForNC/status/1247680849656647686,False,,0,,,,,,,"[{'user_id': '941754604118831105', 'username': 'HuffmanForNC'}]",,,,
