id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1208570344803450887,1208567776240996352,1576980599000,2019-12-22,02:09:59,IST,504996318,dvc9999,daniel combs,,Damn...you only picked them 3 times this year??,['grantcohn'],[],[],0,0,1,[],[],https://twitter.com/dvc9999/status/1208570344803450887,False,,0,,,,,,,"[{'user_id': '504996318', 'username': 'dvc9999'}, {'user_id': '194352411', 'username': 'grantcohn'}]",,,,
1131593247875198976,1131315561735102466,1558627828000,2019-05-23,17:10:28,IST,504996318,dvc9999,daniel combs,,🤣,"['izzy9er7', '49erfaithful365']",[],[],0,0,1,[],[],https://twitter.com/dvc9999/status/1131593247875198976,False,,0,,,,,,,"[{'user_id': '504996318', 'username': 'dvc9999'}, {'user_id': '35231640', 'username': 'Izzy9er7'}, {'user_id': '250383844', 'username': '49erFaithful365'}]",,,,
1131368894721998848,1131315561735102466,1558574338000,2019-05-23,02:18:58,IST,504996318,dvc9999,daniel combs,,🤣🤣 Izzy's going to have to deal with them...not gonna sacrifice my comfort lol 🍻🍻,"['izzy9er7', '49erfaithful365']",[],[],2,0,2,[],[],https://twitter.com/dvc9999/status/1131368894721998848,False,,0,,,,,,,"[{'user_id': '504996318', 'username': 'dvc9999'}, {'user_id': '35231640', 'username': 'Izzy9er7'}, {'user_id': '250383844', 'username': '49erFaithful365'}]",,,,
1131350866718363648,1131315561735102466,1558570040000,2019-05-23,01:07:20,IST,504996318,dvc9999,daniel combs,,Bet!!!,"['izzy9er7', '49erfaithful365']",[],[],2,0,2,[],[],https://twitter.com/dvc9999/status/1131350866718363648,False,,0,,,,,,,"[{'user_id': '504996318', 'username': 'dvc9999'}, {'user_id': '35231640', 'username': 'Izzy9er7'}, {'user_id': '250383844', 'username': '49erFaithful365'}]",,,,
1124515394306265088,1124429477554085890,1556940337000,2019-05-04,04:25:37,IST,504996318,dvc9999,daniel combs,,🤣🤣,"['izzy9er7', '49erfaithful365', 'pedrochef88', '49erhodge']",[],[],0,0,2,[],[],https://twitter.com/dvc9999/status/1124515394306265088,False,,0,,,,,,,"[{'user_id': '504996318', 'username': 'dvc9999'}, {'user_id': '35231640', 'username': 'Izzy9er7'}, {'user_id': '250383844', 'username': '49erFaithful365'}, {'user_id': '3178028667', 'username': 'PedroChef88'}, {'user_id': '2697249020', 'username': '49erHodge'}]",,,,
1124515340434563074,1124429477554085890,1556940324000,2019-05-04,04:25:24,IST,504996318,dvc9999,daniel combs,,Those dem 💥💥,"['izzy9er7', '49erfaithful365', 'pedrochef88', '49erhodge']",[],[],0,0,2,[],[],https://twitter.com/dvc9999/status/1124515340434563074,False,,0,,,,,,,"[{'user_id': '504996318', 'username': 'dvc9999'}, {'user_id': '35231640', 'username': 'Izzy9er7'}, {'user_id': '250383844', 'username': '49erFaithful365'}, {'user_id': '3178028667', 'username': 'PedroChef88'}, {'user_id': '2697249020', 'username': '49erHodge'}]",,,,
1121958648140292098,1121955288356024320,1556330761000,2019-04-27,03:06:01,IST,504996318,dvc9999,daniel combs,,😑 what an embarrassment,['izzy9er7'],[],[],0,0,1,[],[],https://twitter.com/dvc9999/status/1121958648140292098,False,,0,,,,,,,"[{'user_id': '504996318', 'username': 'dvc9999'}, {'user_id': '35231640', 'username': 'Izzy9er7'}]",,,,
1111065975665778689,1111045007413264385,1553733745000,2019-03-28,00:42:25,IST,504996318,dvc9999,daniel combs,,You are right 🤣🤣 straight fire!! 🤣🍻,"['izzy9er7', '49erfaithful365']",[],[],0,0,2,[],[],https://twitter.com/dvc9999/status/1111065975665778689,False,,0,,,,,,,"[{'user_id': '504996318', 'username': 'dvc9999'}, {'user_id': '35231640', 'username': 'Izzy9er7'}, {'user_id': '250383844', 'username': '49erFaithful365'}]",,,,
1066589323326193664,1066582849191473154,1543129685000,2018-11-25,07:08:05,IST,504996318,dvc9999,daniel combs,,"I think they are past the tolerance phase, I bet cut",[],[],[],0,0,1,[],[],https://twitter.com/dvc9999/status/1066589323326193664,False,,0,,,,,,,"[{'user_id': '504996318', 'username': 'dvc9999'}]",,,,
1066588965677854720,1066575409330847744,1543129600000,2018-11-25,07:06:40,IST,504996318,dvc9999,daniel combs,,At least we got fred!!!,['panamanio435'],[],[],0,0,3,[],[],https://twitter.com/dvc9999/status/1066588965677854720,False,,0,,,,,,,"[{'user_id': '504996318', 'username': 'dvc9999'}, {'user_id': '2292112921', 'username': 'Panamanio435'}]",,,,
