id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1247513251165937671,1247513251165937671,1586265311000,2020-04-07,18:45:11,IST,974091245470568448,tulsatilly,Kate (Tilly) Tillotson,,#ModlyMustResign https://twitter.com/travisakers/status/1247327700521496576 …,[],['https://twitter.com/travisakers/status/1247327700521496576'],[],0,0,1,['#modlymustresign'],[],https://twitter.com/tulsatilly/status/1247513251165937671,False,https://twitter.com/travisakers/status/1247327700521496576,0,,,,,,,"[{'user_id': '974091245470568448', 'username': 'tulsatilly'}]",,,,
1247319851443478528,1247319851443478528,1586219201000,2020-04-07,05:56:41,IST,974091245470568448,tulsatilly,Kate (Tilly) Tillotson,,"My boyfriend is a student veteran  and it's been disheartening hearing how his professors aren't understanding the emotional, social, & physical impact the #covid19 pandemic is having on students. They need strong support.  We need more servant leaders like this in higher-ed. https://twitter.com/LISafterclass/status/1246970405337759746 …",[],['https://twitter.com/LISafterclass/status/1246970405337759746'],[],1,1,7,['#covid19'],[],https://twitter.com/tulsatilly/status/1247319851443478528,False,https://twitter.com/LISafterclass/status/1246970405337759746,0,,,,,,,"[{'user_id': '974091245470568448', 'username': 'tulsatilly'}]",,,,
1247179138357698563,1246902319427584000,1586185652000,2020-04-06,20:37:32,IST,974091245470568448,tulsatilly,Kate (Tilly) Tillotson,,"Same to you and your family. Looking forward to reading your work, especially in these times.!","['saraesamora', 'eskateerr']",[],[],0,0,2,[],[],https://twitter.com/tulsatilly/status/1247179138357698563,False,,0,,,,,,,"[{'user_id': '974091245470568448', 'username': 'tulsatilly'}, {'user_id': '319485991', 'username': 'SaraESamora'}, {'user_id': '2264612574', 'username': 'eskateerr'}]",,,,
1247005887501385731,1246902319427584000,1586144346000,2020-04-06,09:09:06,IST,974091245470568448,tulsatilly,Kate (Tilly) Tillotson,,"I'm not sure but for my sister's work in a different city to be asking them to come straight to and from work no stops, it has to be bad.","['eskateerr', 'saraesamora']",[],[],1,0,1,[],[],https://twitter.com/tulsatilly/status/1247005887501385731,False,,0,,,,,,,"[{'user_id': '974091245470568448', 'username': 'tulsatilly'}, {'user_id': '2264612574', 'username': 'eskateerr'}, {'user_id': '319485991', 'username': 'SaraESamora'}]",,,,
1246903196884373507,1246903196884373507,1586119863000,2020-04-06,02:21:03,IST,974091245470568448,tulsatilly,Kate (Tilly) Tillotson,,@GovStitt it's time to issue a real #ShelterInPlace order for #Oklahoma. I don't want my family members in healthcare to get hurt. https://twitter.com/BrianaHiggins2/status/1246033673708847105 …,['govstitt'],['https://twitter.com/BrianaHiggins2/status/1246033673708847105'],[],1,1,2,"['#shelterinplace', '#oklahoma']",[],https://twitter.com/tulsatilly/status/1246903196884373507,False,https://twitter.com/BrianaHiggins2/status/1246033673708847105,0,,,,,,,"[{'user_id': '974091245470568448', 'username': 'tulsatilly'}, {'user_id': '865210877678686208', 'username': 'GovStitt'}]",,,,
1246902319427584000,1246902319427584000,1586119653000,2020-04-06,02:17:33,IST,974091245470568448,tulsatilly,Kate (Tilly) Tillotson,,"My sister just sent me this text:

""There's rumors that a nurse was shot at in a gas station in okc so I guess now they're telling us not to go places in our scrubs just go straight to work and come home...""

Scary shit.",[],[],[],1,0,2,[],[],https://twitter.com/tulsatilly/status/1246902319427584000,False,,0,,,,,,,"[{'user_id': '974091245470568448', 'username': 'tulsatilly'}]",,,,
1246793638073466880,1246699997514653696,1586093742000,2020-04-05,19:05:42,IST,974091245470568448,tulsatilly,Kate (Tilly) Tillotson,,Wow.,['krystyneaeryka'],[],[],0,0,0,[],[],https://twitter.com/tulsatilly/status/1246793638073466880,False,,0,,,,,,,"[{'user_id': '974091245470568448', 'username': 'tulsatilly'}, {'user_id': '400817337', 'username': 'krystyneaeryka'}]",,,,
1246171925417734144,1246171925417734144,1585945514000,2020-04-04,01:55:14,IST,974091245470568448,tulsatilly,Kate (Tilly) Tillotson,,What a joke https://twitter.com/ryanstruyk/status/1246146157270663168 …,[],['https://twitter.com/ryanstruyk/status/1246146157270663168'],[],0,0,0,[],[],https://twitter.com/tulsatilly/status/1246171925417734144,False,https://twitter.com/ryanstruyk/status/1246146157270663168,0,,,,,,,"[{'user_id': '974091245470568448', 'username': 'tulsatilly'}]",,,,
1245468466225823744,1245468466225823744,1585777796000,2020-04-02,03:19:56,IST,974091245470568448,tulsatilly,Kate (Tilly) Tillotson,,This entire thread 😍 https://twitter.com/foxfeather/status/1245416675979206657 …,[],['https://twitter.com/foxfeather/status/1245416675979206657'],[],0,0,0,[],[],https://twitter.com/tulsatilly/status/1245468466225823744,False,https://twitter.com/foxfeather/status/1245416675979206657,0,,,,,,,"[{'user_id': '974091245470568448', 'username': 'tulsatilly'}]",,,,
1245433998265987079,1245380091598778369,1585769578000,2020-04-02,01:02:58,IST,974091245470568448,tulsatilly,Kate (Tilly) Tillotson,,"It's comforting in these times seeing the theme of your TED talk becoming Tulsa's theme during the pandemic: Data driven decision making and not falling into the political inaction of throwing red meat to a base. 

Proud of you, @gtbynum.",['gtbynum'],[],[],0,0,4,[],[],https://twitter.com/tulsatilly/status/1245433998265987079,False,,0,,,,,,,"[{'user_id': '974091245470568448', 'username': 'tulsatilly'}, {'user_id': '17232635', 'username': 'gtbynum'}]",,,,
1245357566475059200,1245357566475059200,1585751356000,2020-04-01,19:59:16,IST,974091245470568448,tulsatilly,Kate (Tilly) Tillotson,,"The Pentagon is playing ""PFC don't know"" games right now. 😑 https://twitter.com/maggieNYT/status/1245197074787958785 …",[],['https://twitter.com/maggieNYT/status/1245197074787958785'],[],1,1,3,[],[],https://twitter.com/tulsatilly/status/1245357566475059200,False,https://twitter.com/maggieNYT/status/1245197074787958785,0,,,,,,,"[{'user_id': '974091245470568448', 'username': 'tulsatilly'}]",,,,
1244758977960980494,1244758977960980494,1585608641000,2020-03-31,04:20:41,IST,974091245470568448,tulsatilly,Kate (Tilly) Tillotson,,🤯 https://twitter.com/thedailybeast/status/1244581210589999104 …,[],['https://twitter.com/thedailybeast/status/1244581210589999104'],[],0,0,0,[],[],https://twitter.com/tulsatilly/status/1244758977960980494,False,https://twitter.com/thedailybeast/status/1244581210589999104,0,,,,,,,"[{'user_id': '974091245470568448', 'username': 'tulsatilly'}]",,,,
